simSteps Time(ms) Input(Iapp) Output(V_axon)
186 0.009 0.000 -57.10555184
187 0.009 0.000 -57.10707856
188 0.009 0.000 -57.10860397
189 0.009 0.000 -57.11012776
190 0.009 0.000 -57.11164961
191 0.010 0.000 -57.11316921
192 0.010 0.000 -57.11468627
193 0.010 0.000 -57.11620052
194 0.010 0.000 -57.11771167
195 0.010 0.000 -57.11921946
196 0.010 0.000 -57.12072365
197 0.010 0.000 -57.12222400
198 0.010 0.000 -57.12372025
199 0.010 0.000 -57.12521220
200 0.010 0.000 -57.12669963
201 0.010 0.000 -57.12818232
202 0.010 0.000 -57.12966008
203 0.010 0.000 -57.13113272
204 0.010 0.000 -57.13260004
205 0.010 0.000 -57.13406188
206 0.010 0.000 -57.13551807
207 0.010 0.000 -57.13696843
208 0.010 0.000 -57.13841281
209 0.010 0.000 -57.13985107
210 0.011 0.000 -57.14128306
211 0.011 0.000 -57.14270864
212 0.011 0.000 -57.14412769
213 0.011 0.000 -57.14554006
214 0.011 0.000 -57.14694565
215 0.011 0.000 -57.14834435
216 0.011 0.000 -57.14973603
217 0.011 0.000 -57.15112060
218 0.011 0.000 -57.15249796
219 0.011 0.000 -57.15386801
220 0.011 0.000 -57.15523066
221 0.011 0.000 -57.15658584
222 0.011 0.000 -57.15793345
223 0.011 0.000 -57.15927342
224 0.011 0.000 -57.16060567
225 0.011 0.000 -57.16193015
226 0.011 0.000 -57.16324679
227 0.011 0.000 -57.16455551
228 0.011 0.000 -57.16585628
229 0.011 0.000 -57.16714903
230 0.011 0.000 -57.16843371
231 0.012 0.000 -57.16971028
232 0.012 0.000 -57.17097870
233 0.012 0.000 -57.17223891
234 0.012 0.000 -57.17349090
235 0.012 0.000 -57.17473461
236 0.012 0.000 -57.17597003
237 0.012 0.000 -57.17719711
238 0.012 0.000 -57.17841584
239 0.012 0.000 -57.17962619
240 0.012 0.000 -57.18082815
241 0.012 0.000 -57.18202168
242 0.012 0.000 -57.18320678
243 0.012 0.000 -57.18438343
244 0.012 0.000 -57.18555162
245 0.012 0.000 -57.18671134
246 0.012 0.000 -57.18786258
247 0.012 0.000 -57.18900535
248 0.012 0.000 -57.19013962
249 0.012 0.000 -57.19126541
250 0.013 0.000 -57.19238270
251 0.013 0.000 -57.19349152
252 0.013 0.000 -57.19459185
253 0.013 0.000 -57.19568370
254 0.013 0.000 -57.19676708
255 0.013 0.000 -57.19784200
256 0.013 0.000 -57.19890847
257 0.013 0.000 -57.19996649
258 0.013 0.000 -57.20101609
259 0.013 0.000 -57.20205727
260 0.013 0.000 -57.20309006
261 0.013 0.000 -57.20411446
262 0.013 0.000 -57.20513049
263 0.013 0.000 -57.20613818
264 0.013 0.000 -57.20713754
265 0.013 0.000 -57.20812860
266 0.013 0.000 -57.20911137
267 0.013 0.000 -57.21008589
268 0.013 0.000 -57.21105216
269 0.013 0.000 -57.21201023
270 0.013 0.000 -57.21296011
271 0.014 0.000 -57.21390184
272 0.014 0.000 -57.21483543
273 0.014 0.000 -57.21576092
274 0.014 0.000 -57.21667834
275 0.014 0.000 -57.21758771
276 0.014 0.000 -57.21848907
277 0.014 0.000 -57.21938245
278 0.014 0.000 -57.22026788
279 0.014 0.000 -57.22114540
280 0.014 0.000 -57.22201503
281 0.014 0.000 -57.22287681
282 0.014 0.000 -57.22373077
283 0.014 0.000 -57.22457695
284 0.014 0.000 -57.22541539
285 0.014 0.000 -57.22624612
286 0.014 0.000 -57.22706918
287 0.014 0.000 -57.22788460
288 0.014 0.000 -57.22869242
289 0.014 0.000 -57.22949268
290 0.015 0.000 -57.23028541
291 0.015 0.000 -57.23107066
292 0.015 0.000 -57.23184846
293 0.015 0.000 -57.23261886
294 0.015 0.000 -57.23338188
295 0.015 0.000 -57.23413758
296 0.015 0.000 -57.23488599
297 0.015 0.000 -57.23562715
298 0.015 0.000 -57.23636110
299 0.015 0.000 -57.23708788
300 0.015 0.000 -57.23780753
301 0.015 0.000 -57.23852010
302 0.015 0.000 -57.23922563
303 0.015 0.000 -57.23992415
304 0.015 0.000 -57.24061570
305 0.015 0.000 -57.24130034
306 0.015 0.000 -57.24197810
307 0.015 0.000 -57.24264902
308 0.015 0.000 -57.24331315
309 0.015 0.000 -57.24397053
310 0.015 0.000 -57.24462119
311 0.016 0.000 -57.24526519
312 0.016 0.000 -57.24590257
313 0.016 0.000 -57.24653336
314 0.016 0.000 -57.24715761
315 0.016 0.000 -57.24777536
316 0.016 0.000 -57.24838666
317 0.016 0.000 -57.24899154
318 0.016 0.000 -57.24959006
319 0.016 0.000 -57.25018225
320 0.016 0.000 -57.25076816
321 0.016 0.000 -57.25134782
322 0.016 0.000 -57.25192129
323 0.016 0.000 -57.25248860
324 0.016 0.000 -57.25304979
325 0.016 0.000 -57.25360492
326 0.016 0.000 -57.25415402
327 0.016 0.000 -57.25469713
328 0.016 0.000 -57.25523431
329 0.016 0.000 -57.25576558
330 0.017 0.000 -57.25629099
331 0.017 0.000 -57.25681059
332 0.017 0.000 -57.25732441
333 0.017 0.000 -57.25783251
334 0.017 0.000 -57.25833491
335 0.017 0.000 -57.25883167
336 0.017 0.000 -57.25932282
337 0.017 0.000 -57.25980841
338 0.017 0.000 -57.26028848
339 0.017 0.000 -57.26076307
340 0.017 0.000 -57.26123222
341 0.017 0.000 -57.26169597
342 0.017 0.000 -57.26215437
343 0.017 0.000 -57.26260746
344 0.017 0.000 -57.26305527
345 0.017 0.000 -57.26349786
346 0.017 0.000 -57.26393525
347 0.017 0.000 -57.26436749
348 0.017 0.000 -57.26479462
349 0.017 0.000 -57.26521668
350 0.018 0.000 -57.26563371
351 0.018 0.000 -57.26604576
352 0.018 0.000 -57.26645286
353 0.018 0.000 -57.26685504
354 0.018 0.000 -57.26725236
355 0.018 0.000 -57.26764485
356 0.018 0.000 -57.26803255
357 0.018 0.000 -57.26841550
358 0.018 0.000 -57.26879374
359 0.018 0.000 -57.26916731
