simSteps Time(ms) Input(Iapp) Output(V_axon)
27476 1.374 0.000 -64.99872729
27477 1.374 0.000 -64.99502946
27478 1.374 0.000 -64.99132894
27479 1.374 0.000 -64.98762569
27480 1.374 0.000 -64.98391974
27481 1.374 0.000 -64.98021106
27482 1.374 0.000 -64.97649966
27483 1.374 0.000 -64.97278554
27484 1.374 0.000 -64.96906868
27485 1.374 0.000 -64.96534908
27486 1.374 0.000 -64.96162675
27487 1.374 0.000 -64.95790167
27488 1.374 0.000 -64.95417384
27489 1.374 0.000 -64.95044326
27490 1.375 0.000 -64.94670992
27491 1.375 0.000 -64.94297382
27492 1.375 0.000 -64.93923496
27493 1.375 0.000 -64.93549332
27494 1.375 0.000 -64.93174892
27495 1.375 0.000 -64.92800173
27496 1.375 0.000 -64.92425176
27497 1.375 0.000 -64.92049900
27498 1.375 0.000 -64.91674345
27499 1.375 0.000 -64.91298510
27500 1.375 0.000 -64.90922396
27501 1.375 0.000 -64.90546001
27502 1.375 0.000 -64.90169325
27503 1.375 0.000 -64.89792367
27504 1.375 0.000 -64.89415128
27505 1.375 0.000 -64.89037607
27506 1.375 0.000 -64.88659802
27507 1.375 0.000 -64.88281715
27508 1.375 0.000 -64.87903344
27509 1.375 0.000 -64.87524689
27510 1.375 0.000 -64.87145749
27511 1.376 0.000 -64.86766525
27512 1.376 0.000 -64.86387014
27513 1.376 0.000 -64.86007218
27514 1.376 0.000 -64.85627136
27515 1.376 0.000 -64.85246767
27516 1.376 0.000 -64.84866110
27517 1.376 0.000 -64.84485166
27518 1.376 0.000 -64.84103933
27519 1.376 0.000 -64.83722412
27520 1.376 0.000 -64.83340601
27521 1.376 0.000 -64.82958501
27522 1.376 0.000 -64.82576110
27523 1.376 0.000 -64.82193429
27524 1.376 0.000 -64.81810457
27525 1.376 0.000 -64.81427193
27526 1.376 0.000 -64.81043637
27527 1.376 0.000 -64.80659788
27528 1.376 0.000 -64.80275647
27529 1.376 0.000 -64.79891212
27530 1.377 0.000 -64.79506482
27531 1.377 0.000 -64.79121459
27532 1.377 0.000 -64.78736140
27533 1.377 0.000 -64.78350525
27534 1.377 0.000 -64.77964615
27535 1.377 0.000 -64.77578408
27536 1.377 0.000 -64.77191904
27537 1.377 0.000 -64.76805102
27538 1.377 0.000 -64.76418003
27539 1.377 0.000 -64.76030605
27540 1.377 0.000 -64.75642907
27541 1.377 0.000 -64.75254910
27542 1.377 0.000 -64.74866613
27543 1.377 0.000 -64.74478016
27544 1.377 0.000 -64.74089117
27545 1.377 0.000 -64.73699916
27546 1.377 0.000 -64.73310414
27547 1.377 0.000 -64.72920608
27548 1.377 0.000 -64.72530500
27549 1.377 0.000 -64.72140087
27550 1.377 0.000 -64.71749370
27551 1.378 0.000 -64.71358349
27552 1.378 0.000 -64.70967022
27553 1.378 0.000 -64.70575389
27554 1.378 0.000 -64.70183449
27555 1.378 0.000 -64.69791203
27556 1.378 0.000 -64.69398649
27557 1.378 0.000 -64.69005787
27558 1.378 0.000 -64.68612616
27559 1.378 0.000 -64.68219137
27560 1.378 0.000 -64.67825347
27561 1.378 0.000 -64.67431247
27562 1.378 0.000 -64.67036836
27563 1.378 0.000 -64.66642114
27564 1.378 0.000 -64.66247080
27565 1.378 0.000 -64.65851733
27566 1.378 0.000 -64.65456073
27567 1.378 0.000 -64.65060099
27568 1.378 0.000 -64.64663812
27569 1.378 0.000 -64.64267209
27570 1.379 0.000 -64.63870291
27571 1.379 0.000 -64.63473057
27572 1.379 0.000 -64.63075506
27573 1.379 0.000 -64.62677639
27574 1.379 0.000 -64.62279453
27575 1.379 0.000 -64.61880949
27576 1.379 0.000 -64.61482127
27577 1.379 0.000 -64.61082985
27578 1.379 0.000 -64.60683522
27579 1.379 0.000 -64.60283739
27580 1.379 0.000 -64.59883635
27581 1.379 0.000 -64.59483209
27582 1.379 0.000 -64.59082461
27583 1.379 0.000 -64.58681389
27584 1.379 0.000 -64.58279993
27585 1.379 0.000 -64.57878274
27586 1.379 0.000 -64.57476229
27587 1.379 0.000 -64.57073859
27588 1.379 0.000 -64.56671163
27589 1.379 0.000 -64.56268140
27590 1.379 0.000 -64.55864789
27591 1.380 0.000 -64.55461111
27592 1.380 0.000 -64.55057103
27593 1.380 0.000 -64.54652767
27594 1.380 0.000 -64.54248100
27595 1.380 0.000 -64.53843103
27596 1.380 0.000 -64.53437775
27597 1.380 0.000 -64.53032115
27598 1.380 0.000 -64.52626123
27599 1.380 0.000 -64.52219797
27600 1.380 0.000 -64.51813138
27601 1.380 0.000 -64.51406144
27602 1.380 0.000 -64.50998815
27603 1.380 0.000 -64.50591150
27604 1.380 0.000 -64.50183149
27605 1.380 0.000 -64.49774811
27606 1.380 0.000 -64.49366135
27607 1.380 0.000 -64.48957121
27608 1.380 0.000 -64.48547768
27609 1.380 0.000 -64.48138075
27610 1.381 0.000 -64.47728041
27611 1.381 0.000 -64.47317667
27612 1.381 0.000 -64.46906950
27613 1.381 0.000 -64.46495892
27614 1.381 0.000 -64.46084490
27615 1.381 0.000 -64.45672744
27616 1.381 0.000 -64.45260653
27617 1.381 0.000 -64.44848218
27618 1.381 0.000 -64.44435436
27619 1.381 0.000 -64.44022308
27620 1.381 0.000 -64.43608832
27621 1.381 0.000 -64.43195009
27622 1.381 0.000 -64.42780836
27623 1.381 0.000 -64.42366315
27624 1.381 0.000 -64.41951442
27625 1.381 0.000 -64.41536219
27626 1.381 0.000 -64.41120645
27627 1.381 0.000 -64.40704718
27628 1.381 0.000 -64.40288438
27629 1.381 0.000 -64.39871804
27630 1.381 0.000 -64.39454815
27631 1.382 0.000 -64.39037472
27632 1.382 0.000 -64.38619772
27633 1.382 0.000 -64.38201715
27634 1.382 0.000 -64.37783301
27635 1.382 0.000 -64.37364528
27636 1.382 0.000 -64.36945397
27637 1.382 0.000 -64.36525906
27638 1.382 0.000 -64.36106054
27639 1.382 0.000 -64.35685840
27640 1.382 0.000 -64.35265265
27641 1.382 0.000 -64.34844327
27642 1.382 0.000 -64.34423025
27643 1.382 0.000 -64.34001359
27644 1.382 0.000 -64.33579327
27645 1.382 0.000 -64.33156930
27646 1.382 0.000 -64.32734165
27647 1.382 0.000 -64.32311033
27648 1.382 0.000 -64.31887533
27649 1.382 0.000 -64.31463664
27650 1.383 0.000 -64.31039424
27651 1.383 0.000 -64.30614814
27652 1.383 0.000 -64.30189832
27653 1.383 0.000 -64.29764478
27654 1.383 0.000 -64.29338751
27655 1.383 0.000 -64.28912649
27656 1.383 0.000 -64.28486173
27657 1.383 0.000 -64.28059321
27658 1.383 0.000 -64.27632093
27659 1.383 0.000 -64.27204487
27660 1.383 0.000 -64.26776503
27661 1.383 0.000 -64.26348139
27662 1.383 0.000 -64.25919396
27663 1.383 0.000 -64.25490273
27664 1.383 0.000 -64.25060767
27665 1.383 0.000 -64.24630880
27666 1.383 0.000 -64.24200609
27667 1.383 0.000 -64.23769953
27668 1.383 0.000 -64.23338913
27669 1.383 0.000 -64.22907487
27670 1.383 0.000 -64.22475674
27671 1.384 0.000 -64.22043473
27672 1.384 0.000 -64.21610884
27673 1.384 0.000 -64.21177906
27674 1.384 0.000 -64.20744537
27675 1.384 0.000 -64.20310776
27676 1.384 0.000 -64.19876624
27677 1.384 0.000 -64.19442079
27678 1.384 0.000 -64.19007140
27679 1.384 0.000 -64.18571805
27680 1.384 0.000 -64.18136076
27681 1.384 0.000 -64.17699949
27682 1.384 0.000 -64.17263425
27683 1.384 0.000 -64.16826502
27684 1.384 0.000 -64.16389180
27685 1.384 0.000 -64.15951457
27686 1.384 0.000 -64.15513333
27687 1.384 0.000 -64.15074807
27688 1.384 0.000 -64.14635877
27689 1.384 0.000 -64.14196543
27690 1.385 0.000 -64.13756804
27691 1.385 0.000 -64.13316659
27692 1.385 0.000 -64.12876107
27693 1.385 0.000 -64.12435147
27694 1.385 0.000 -64.11993777
27695 1.385 0.000 -64.11551998
27696 1.385 0.000 -64.11109807
27697 1.385 0.000 -64.10667205
27698 1.385 0.000 -64.10224190
27699 1.385 0.000 -64.09780760
27700 1.385 0.000 -64.09336916
27701 1.385 0.000 -64.08892655
27702 1.385 0.000 -64.08447977
27703 1.385 0.000 -64.08002882
27704 1.385 0.000 -64.07557367
27705 1.385 0.000 -64.07111432
27706 1.385 0.000 -64.06665076
27707 1.385 0.000 -64.06218298
27708 1.385 0.000 -64.05771097
27709 1.385 0.000 -64.05323471
27710 1.385 0.000 -64.04875420
27711 1.386 0.000 -64.04426943
27712 1.386 0.000 -64.03978038
27713 1.386 0.000 -64.03528705
27714 1.386 0.000 -64.03078942
27715 1.386 0.000 -64.02628748
27716 1.386 0.000 -64.02178123
27717 1.386 0.000 -64.01727065
27718 1.386 0.000 -64.01275573
27719 1.386 0.000 -64.00823645
27720 1.386 0.000 -64.00371282
27721 1.386 0.000 -63.99918482
27722 1.386 0.000 -63.99465243
27723 1.386 0.000 -63.99011564
27724 1.386 0.000 -63.98557445
27725 1.386 0.000 -63.98102884
27726 1.386 0.000 -63.97647881
27727 1.386 0.000 -63.97192433
27728 1.386 0.000 -63.96736540
27729 1.386 0.000 -63.96280201
27730 1.387 0.000 -63.95823415
27731 1.387 0.000 -63.95366179
27732 1.387 0.000 -63.94908494
27733 1.387 0.000 -63.94450358
27734 1.387 0.000 -63.93991770
27735 1.387 0.000 -63.93532729
27736 1.387 0.000 -63.93073233
27737 1.387 0.000 -63.92613281
27738 1.387 0.000 -63.92152872
27739 1.387 0.000 -63.91692005
27740 1.387 0.000 -63.91230679
27741 1.387 0.000 -63.90768892
27742 1.387 0.000 -63.90306643
27743 1.387 0.000 -63.89843931
27744 1.387 0.000 -63.89380755
27745 1.387 0.000 -63.88917113
27746 1.387 0.000 -63.88453005
27747 1.387 0.000 -63.87988428
27748 1.387 0.000 -63.87523383
27749 1.387 0.000 -63.87057866
27750 1.387 0.000 -63.86591878
27751 1.388 0.000 -63.86125416
27752 1.388 0.000 -63.85658480
27753 1.388 0.000 -63.85191069
27754 1.388 0.000 -63.84723180
27755 1.388 0.000 -63.84254813
27756 1.388 0.000 -63.83785966
27757 1.388 0.000 -63.83316639
27758 1.388 0.000 -63.82846828
27759 1.388 0.000 -63.82376535
27760 1.388 0.000 -63.81905756
27761 1.388 0.000 -63.81434491
27762 1.388 0.000 -63.80962738
27763 1.388 0.000 -63.80490496
27764 1.388 0.000 -63.80017764
27765 1.388 0.000 -63.79544540
27766 1.388 0.000 -63.79070822
27767 1.388 0.000 -63.78596611
27768 1.388 0.000 -63.78121903
27769 1.388 0.000 -63.77646697
27770 1.389 0.000 -63.77170993
27771 1.389 0.000 -63.76694789
27772 1.389 0.000 -63.76218083
27773 1.389 0.000 -63.75740873
27774 1.389 0.000 -63.75263160
27775 1.389 0.000 -63.74784940
27776 1.389 0.000 -63.74306213
27777 1.389 0.000 -63.73826977
27778 1.389 0.000 -63.73347230
27779 1.389 0.000 -63.72866972
27780 1.389 0.000 -63.72386200
27781 1.389 0.000 -63.71904914
27782 1.389 0.000 -63.71423111
27783 1.389 0.000 -63.70940790
27784 1.389 0.000 -63.70457950
27785 1.389 0.000 -63.69974589
27786 1.389 0.000 -63.69490706
27787 1.389 0.000 -63.69006298
27788 1.389 0.000 -63.68521365
27789 1.389 0.000 -63.68035905
27790 1.389 0.000 -63.67549917
27791 1.390 0.000 -63.67063398
27792 1.390 0.000 -63.66576347
27793 1.390 0.000 -63.66088763
27794 1.390 0.000 -63.65600644
27795 1.390 0.000 -63.65111988
27796 1.390 0.000 -63.64622794
27797 1.390 0.000 -63.64133060
27798 1.390 0.000 -63.63642785
27799 1.390 0.000 -63.63151966
27800 1.390 0.000 -63.62660603
27801 1.390 0.000 -63.62168693
27802 1.390 0.000 -63.61676235
27803 1.390 0.000 -63.61183227
27804 1.390 0.000 -63.60689668
27805 1.390 0.000 -63.60195556
27806 1.390 0.000 -63.59700889
27807 1.390 0.000 -63.59205665
27808 1.390 0.000 -63.58709883
27809 1.390 0.000 -63.58213540
27810 1.391 0.000 -63.57716636
27811 1.391 0.000 -63.57219169
27812 1.391 0.000 -63.56721136
27813 1.391 0.000 -63.56222536
27814 1.391 0.000 -63.55723367
27815 1.391 0.000 -63.55223628
27816 1.391 0.000 -63.54723316
27817 1.391 0.000 -63.54222429
27818 1.391 0.000 -63.53720967
27819 1.391 0.000 -63.53218927
27820 1.391 0.000 -63.52716307
27821 1.391 0.000 -63.52213105
27822 1.391 0.000 -63.51709320
27823 1.391 0.000 -63.51204949
27824 1.391 0.000 -63.50699992
27825 1.391 0.000 -63.50194445
27826 1.391 0.000 -63.49688307
27827 1.391 0.000 -63.49181576
27828 1.391 0.000 -63.48674251
27829 1.391 0.000 -63.48166328
27830 1.391 0.000 -63.47657807
27831 1.392 0.000 -63.47148685
27832 1.392 0.000 -63.46638961
27833 1.392 0.000 -63.46128632
27834 1.392 0.000 -63.45617696
27835 1.392 0.000 -63.45106152
27836 1.392 0.000 -63.44593997
27837 1.392 0.000 -63.44081229
27838 1.392 0.000 -63.43567847
27839 1.392 0.000 -63.43053848
27840 1.392 0.000 -63.42539230
27841 1.392 0.000 -63.42023991
27842 1.392 0.000 -63.41508129
27843 1.392 0.000 -63.40991643
27844 1.392 0.000 -63.40474529
27845 1.392 0.000 -63.39956786
27846 1.392 0.000 -63.39438411
27847 1.392 0.000 -63.38919403
27848 1.392 0.000 -63.38399760
27849 1.392 0.000 -63.37879478
27850 1.393 0.000 -63.37358557
27851 1.393 0.000 -63.36836993
27852 1.393 0.000 -63.36314785
27853 1.393 0.000 -63.35791930
27854 1.393 0.000 -63.35268427
27855 1.393 0.000 -63.34744272
27856 1.393 0.000 -63.34219464
27857 1.393 0.000 -63.33694001
27858 1.393 0.000 -63.33167879
27859 1.393 0.000 -63.32641097
27860 1.393 0.000 -63.32113653
27861 1.393 0.000 -63.31585544
27862 1.393 0.000 -63.31056768
27863 1.393 0.000 -63.30527322
27864 1.393 0.000 -63.29997205
27865 1.393 0.000 -63.29466413
27866 1.393 0.000 -63.28934945
27867 1.393 0.000 -63.28402798
27868 1.393 0.000 -63.27869969
27869 1.393 0.000 -63.27336456
27870 1.393 0.000 -63.26802257
27871 1.394 0.000 -63.26267370
27872 1.394 0.000 -63.25731791
27873 1.394 0.000 -63.25195518
27874 1.394 0.000 -63.24658549
27875 1.394 0.000 -63.24120881
27876 1.394 0.000 -63.23582512
27877 1.394 0.000 -63.23043439
27878 1.394 0.000 -63.22503660
27879 1.394 0.000 -63.21963172
27880 1.394 0.000 -63.21421972
27881 1.394 0.000 -63.20880058
27882 1.394 0.000 -63.20337427
27883 1.394 0.000 -63.19794076
27884 1.394 0.000 -63.19250004
27885 1.394 0.000 -63.18705206
27886 1.394 0.000 -63.18159682
27887 1.394 0.000 -63.17613426
27888 1.394 0.000 -63.17066438
27889 1.394 0.000 -63.16518715
27890 1.395 0.000 -63.15970253
27891 1.395 0.000 -63.15421049
27892 1.395 0.000 -63.14871102
27893 1.395 0.000 -63.14320408
27894 1.395 0.000 -63.13768964
27895 1.395 0.000 -63.13216767
27896 1.395 0.000 -63.12663816
27897 1.395 0.000 -63.12110106
27898 1.395 0.000 -63.11555635
27899 1.395 0.000 -63.11000400
27900 1.395 0.000 -63.10444398
27901 1.395 0.000 -63.09887626
27902 1.395 0.000 -63.09330081
27903 1.395 0.000 -63.08771760
27904 1.395 0.000 -63.08212660
27905 1.395 0.000 -63.07652778
27906 1.395 0.000 -63.07092112
27907 1.395 0.000 -63.06530657
27908 1.395 0.000 -63.05968411
27909 1.395 0.000 -63.05405371
27910 1.395 0.000 -63.04841534
27911 1.396 0.000 -63.04276896
27912 1.396 0.000 -63.03711455
27913 1.396 0.000 -63.03145206
27914 1.396 0.000 -63.02578148
27915 1.396 0.000 -63.02010276
27916 1.396 0.000 -63.01441588
27917 1.396 0.000 -63.00872080
27918 1.396 0.000 -63.00301749
27919 1.396 0.000 -62.99730591
27920 1.396 0.000 -62.99158604
27921 1.396 0.000 -62.98585784
27922 1.396 0.000 -62.98012128
27923 1.396 0.000 -62.97437631
27924 1.396 0.000 -62.96862291
27925 1.396 0.000 -62.96286105
27926 1.396 0.000 -62.95709068
27927 1.396 0.000 -62.95131178
27928 1.396 0.000 -62.94552431
27929 1.396 0.000 -62.93972823
27930 1.397 0.000 -62.93392351
27931 1.397 0.000 -62.92811011
27932 1.397 0.000 -62.92228800
27933 1.397 0.000 -62.91645713
27934 1.397 0.000 -62.91061748
27935 1.397 0.000 -62.90476901
27936 1.397 0.000 -62.89891168
27937 1.397 0.000 -62.89304545
27938 1.397 0.000 -62.88717028
27939 1.397 0.000 -62.88128614
27940 1.397 0.000 -62.87539300
27941 1.397 0.000 -62.86949080
27942 1.397 0.000 -62.86357951
27943 1.397 0.000 -62.85765910
27944 1.397 0.000 -62.85172953
27945 1.397 0.000 -62.84579075
27946 1.397 0.000 -62.83984273
27947 1.397 0.000 -62.83388542
27948 1.397 0.000 -62.82791879
27949 1.397 0.000 -62.82194280
27950 1.397 0.000 -62.81595740
27951 1.398 0.000 -62.80996256
27952 1.398 0.000 -62.80395823
27953 1.398 0.000 -62.79794437
27954 1.398 0.000 -62.79192094
27955 1.398 0.000 -62.78588791
27956 1.398 0.000 -62.77984522
27957 1.398 0.000 -62.77379283
27958 1.398 0.000 -62.76773070
27959 1.398 0.000 -62.76165879
27960 1.398 0.000 -62.75557706
27961 1.398 0.000 -62.74948546
27962 1.398 0.000 -62.74338394
27963 1.398 0.000 -62.73727246
27964 1.398 0.000 -62.73115099
27965 1.398 0.000 -62.72501946
27966 1.398 0.000 -62.71887784
27967 1.398 0.000 -62.71272609
27968 1.398 0.000 -62.70656415
27969 1.398 0.000 -62.70039198
27970 1.399 0.000 -62.69420953
27971 1.399 0.000 -62.68801675
27972 1.399 0.000 -62.68181361
27973 1.399 0.000 -62.67560005
27974 1.399 0.000 -62.66937602
27975 1.399 0.000 -62.66314147
27976 1.399 0.000 -62.65689636
27977 1.399 0.000 -62.65064064
27978 1.399 0.000 -62.64437426
27979 1.399 0.000 -62.63809716
27980 1.399 0.000 -62.63180930
27981 1.399 0.000 -62.62551063
27982 1.399 0.000 -62.61920110
27983 1.399 0.000 -62.61288066
27984 1.399 0.000 -62.60654924
27985 1.399 0.000 -62.60020682
27986 1.399 0.000 -62.59385332
27987 1.399 0.000 -62.58748870
27988 1.399 0.000 -62.58111290
27989 1.399 0.000 -62.57472588
27990 1.399 0.000 -62.56832757
27991 1.400 0.000 -62.56191793
27992 1.400 0.000 -62.55549690
27993 1.400 0.000 -62.54906442
27994 1.400 0.000 -62.54262044
27995 1.400 0.000 -62.53616490
27996 1.400 0.000 -62.52969775
27997 1.400 0.000 -62.52321893
27998 1.400 0.000 -62.51672838
27999 1.400 0.000 -62.51022605
28000 1.400 0.000 -62.50371187
28001 1.400 0.000 -62.49718580
28002 1.400 0.000 -62.49064776
28003 1.400 0.000 -62.48409771
28004 1.400 0.000 -62.47753558
28005 1.400 0.000 -62.47096131
28006 1.400 0.000 -62.46437485
28007 1.400 0.000 -62.45777612
28008 1.400 0.000 -62.45116507
28009 1.400 0.000 -62.44454164
28010 1.401 0.000 -62.43790576
28011 1.401 0.000 -62.43125738
28012 1.401 0.000 -62.42459642
28013 1.401 0.000 -62.41792283
28014 1.401 0.000 -62.41123653
28015 1.401 0.000 -62.40453748
28016 1.401 0.000 -62.39782559
28017 1.401 0.000 -62.39110081
28018 1.401 0.000 -62.38436306
28019 1.401 0.000 -62.37761228
28020 1.401 0.000 -62.37084841
28021 1.401 0.000 -62.36407138
28022 1.401 0.000 -62.35728111
28023 1.401 0.000 -62.35047754
28024 1.401 0.000 -62.34366060
28025 1.401 0.000 -62.33683021
28026 1.401 0.000 -62.32998632
28027 1.401 0.000 -62.32312884
28028 1.401 0.000 -62.31625770
28029 1.401 0.000 -62.30937284
28030 1.401 0.000 -62.30247418
28031 1.402 0.000 -62.29556165
28032 1.402 0.000 -62.28863517
28033 1.402 0.000 -62.28169466
28034 1.402 0.000 -62.27474006
28035 1.402 0.000 -62.26777129
28036 1.402 0.000 -62.26078826
28037 1.402 0.000 -62.25379091
28038 1.402 0.000 -62.24677916
28039 1.402 0.000 -62.23975292
28040 1.402 0.000 -62.23271212
28041 1.402 0.000 -62.22565668
28042 1.402 0.000 -62.21858652
28043 1.402 0.000 -62.21150155
28044 1.402 0.000 -62.20440170
28045 1.402 0.000 -62.19728689
28046 1.402 0.000 -62.19015703
28047 1.402 0.000 -62.18301203
28048 1.402 0.000 -62.17585182
28049 1.402 0.000 -62.16867631
28050 1.403 0.000 -62.16148541
28051 1.403 0.000 -62.15427903
28052 1.403 0.000 -62.14705710
28053 1.403 0.000 -62.13981951
28054 1.403 0.000 -62.13256619
28055 1.403 0.000 -62.12529705
28056 1.403 0.000 -62.11801198
28057 1.403 0.000 -62.11071091
28058 1.403 0.000 -62.10339375
28059 1.403 0.000 -62.09606039
28060 1.403 0.000 -62.08871074
28061 1.403 0.000 -62.08134472
28062 1.403 0.000 -62.07396223
28063 1.403 0.000 -62.06656316
28064 1.403 0.000 -62.05914744
28065 1.403 0.000 -62.05171495
28066 1.403 0.000 -62.04426560
28067 1.403 0.000 -62.03679930
28068 1.403 0.000 -62.02931593
28069 1.403 0.000 -62.02181541
28070 1.403 0.000 -62.01429763
28071 1.404 0.000 -62.00676249
28072 1.404 0.000 -61.99920988
28073 1.404 0.000 -61.99163970
28074 1.404 0.000 -61.98405185
28075 1.404 0.000 -61.97644622
28076 1.404 0.000 -61.96882270
28077 1.404 0.000 -61.96118118
28078 1.404 0.000 -61.95352157
28079 1.404 0.000 -61.94584374
28080 1.404 0.000 -61.93814759
28081 1.404 0.000 -61.93043300
28082 1.404 0.000 -61.92269986
28083 1.404 0.000 -61.91494807
28084 1.404 0.000 -61.90717749
28085 1.404 0.000 -61.89938803
28086 1.404 0.000 -61.89157956
28087 1.404 0.000 -61.88375196
28088 1.404 0.000 -61.87590512
28089 1.404 0.000 -61.86803891
28090 1.405 0.000 -61.86015322
28091 1.405 0.000 -61.85224792
28092 1.405 0.000 -61.84432289
28093 1.405 0.000 -61.83637801
28094 1.405 0.000 -61.82841314
28095 1.405 0.000 -61.82042817
28096 1.405 0.000 -61.81242297
28097 1.405 0.000 -61.80439740
28098 1.405 0.000 -61.79635134
28099 1.405 0.000 -61.78828465
28100 1.405 0.000 -61.78019721
28101 1.405 0.000 -61.77208888
28102 1.405 0.000 -61.76395952
28103 1.405 0.000 -61.75580900
28104 1.405 0.000 -61.74763718
28105 1.405 0.000 -61.73944392
28106 1.405 0.000 -61.73122909
28107 1.405 0.000 -61.72299253
28108 1.405 0.000 -61.71473412
28109 1.405 0.000 -61.70645370
28110 1.405 0.000 -61.69815112
28111 1.406 0.000 -61.68982625
28112 1.406 0.000 -61.68147893
28113 1.406 0.000 -61.67310902
28114 1.406 0.000 -61.66471636
28115 1.406 0.000 -61.65630080
28116 1.406 0.000 -61.64786219
28117 1.406 0.000 -61.63940036
28118 1.406 0.000 -61.63091517
28119 1.406 0.000 -61.62240646
28120 1.406 0.000 -61.61387406
28121 1.406 0.000 -61.60531782
28122 1.406 0.000 -61.59673757
28123 1.406 0.000 -61.58813314
28124 1.406 0.000 -61.57950438
28125 1.406 0.000 -61.57085110
28126 1.406 0.000 -61.56217315
28127 1.406 0.000 -61.55347035
28128 1.406 0.000 -61.54474253
28129 1.406 0.000 -61.53598951
28130 1.407 0.000 -61.52721112
28131 1.407 0.000 -61.51840717
28132 1.407 0.000 -61.50957750
28133 1.407 0.000 -61.50072191
28134 1.407 0.000 -61.49184023
28135 1.407 0.000 -61.48293226
28136 1.407 0.000 -61.47399782
28137 1.407 0.000 -61.46503673
28138 1.407 0.000 -61.45604879
28139 1.407 0.000 -61.44703380
28140 1.407 0.000 -61.43799157
28141 1.407 0.000 -61.42892191
28142 1.407 0.000 -61.41982462
28143 1.407 0.000 -61.41069949
28144 1.407 0.000 -61.40154632
28145 1.407 0.000 -61.39236491
28146 1.407 0.000 -61.38315505
28147 1.407 0.000 -61.37391652
28148 1.407 0.000 -61.36464913
28149 1.407 0.000 -61.35535264
28150 1.407 0.000 -61.34602686
28151 1.408 0.000 -61.33667155
28152 1.408 0.000 -61.32728651
28153 1.408 0.000 -61.31787150
28154 1.408 0.000 -61.30842629
28155 1.408 0.000 -61.29895067
28156 1.408 0.000 -61.28944441
28157 1.408 0.000 -61.27990726
28158 1.408 0.000 -61.27033899
28159 1.408 0.000 -61.26073938
28160 1.408 0.000 -61.25110816
28161 1.408 0.000 -61.24144512
28162 1.408 0.000 -61.23174999
28163 1.408 0.000 -61.22202253
28164 1.408 0.000 -61.21226249
28165 1.408 0.000 -61.20246961
28166 1.408 0.000 -61.19264365
28167 1.408 0.000 -61.18278433
28168 1.408 0.000 -61.17289141
28169 1.408 0.000 -61.16296460
28170 1.409 0.000 -61.15300366
28171 1.409 0.000 -61.14300830
28172 1.409 0.000 -61.13297825
28173 1.409 0.000 -61.12291324
28174 1.409 0.000 -61.11281299
28175 1.409 0.000 -61.10267720
28176 1.409 0.000 -61.09250561
28177 1.409 0.000 -61.08229791
28178 1.409 0.000 -61.07205382
28179 1.409 0.000 -61.06177304
28180 1.409 0.000 -61.05145527
28181 1.409 0.000 -61.04110021
28182 1.409 0.000 -61.03070756
28183 1.409 0.000 -61.02027699
28184 1.409 0.000 -61.00980821
28185 1.409 0.000 -60.99930089
28186 1.409 0.000 -60.98875472
28187 1.409 0.000 -60.97816936
28188 1.409 0.000 -60.96754450
28189 1.409 0.000 -60.95687980
28190 1.409 0.000 -60.94617493
28191 1.410 0.000 -60.93542955
28192 1.410 0.000 -60.92464331
28193 1.410 0.000 -60.91381587
28194 1.410 0.000 -60.90294688
28195 1.410 0.000 -60.89203598
28196 1.410 0.000 -60.88108281
28197 1.410 0.000 -60.87008701
28198 1.410 0.000 -60.85904821
28199 1.410 0.000 -60.84796604
28200 1.410 0.000 -60.83684013
28201 1.410 0.000 -60.82567008
28202 1.410 0.000 -60.81445552
28203 1.410 0.000 -60.80319606
28204 1.410 0.000 -60.79189130
28205 1.410 0.000 -60.78054084
28206 1.410 0.000 -60.76914428
28207 1.410 0.000 -60.75770120
28208 1.410 0.000 -60.74621120
28209 1.410 0.000 -60.73467385
28210 1.411 0.000 -60.72308873
28211 1.411 0.000 -60.71145540
28212 1.411 0.000 -60.69977344
28213 1.411 0.000 -60.68804241
28214 1.411 0.000 -60.67626185
28215 1.411 0.000 -60.66443131
28216 1.411 0.000 -60.65255035
28217 1.411 0.000 -60.64061849
28218 1.411 0.000 -60.62863527
28219 1.411 0.000 -60.61660022
28220 1.411 0.000 -60.60451284
28221 1.411 0.000 -60.59237267
28222 1.411 0.000 -60.58017920
28223 1.411 0.000 -60.56793193
28224 1.411 0.000 -60.55563037
28225 1.411 0.000 -60.54327399
28226 1.411 0.000 -60.53086229
28227 1.411 0.000 -60.51839473
28228 1.411 0.000 -60.50587079
28229 1.411 0.000 -60.49328993
28230 1.411 0.000 -60.48065160
28231 1.412 0.000 -60.46795525
28232 1.412 0.000 -60.45520032
28233 1.412 0.000 -60.44238625
28234 1.412 0.000 -60.42951246
28235 1.412 0.000 -60.41657836
28236 1.412 0.000 -60.40358338
28237 1.412 0.000 -60.39052691
28238 1.412 0.000 -60.37740836
28239 1.412 0.000 -60.36422709
28240 1.412 0.000 -60.35098251
28241 1.412 0.000 -60.33767397
28242 1.412 0.000 -60.32430084
28243 1.412 0.000 -60.31086248
28244 1.412 0.000 -60.29735823
28245 1.412 0.000 -60.28378742
28246 1.412 0.000 -60.27014939
28247 1.412 0.000 -60.25644345
28248 1.412 0.000 -60.24266892
28249 1.412 0.000 -60.22882509
28250 1.413 0.000 -60.21491126
28251 1.413 0.000 -60.20092670
